Participant,System,Mental_Demand,Physical_Demand,Temporal_Demand,Performance,Effort,Frustration
P1,A,3.6,2.7,5.0,8.3,4.2,1.6
P1,B,5.8,2.1,4.6,7.3,6.6,2.9
P1,C,2.9,2.2,3.4,8.3,3.1,3.7
P2,A,4.5,2.1,5.5,8.1,3.7,3.7
P2,B,4.9,4.0,4.1,7.1,5.6,1.2
P2,C,3.1,3.6,4.7,7.3,3.9,3.7
P3,A,3.9,3.0,3.0,7.4,3.0,3.6
P3,B,6.3,3.5,4.8,8.9,6.1,3.1
P3,C,3.0,3.7,3.7,8.9,2.0,1.1
P4,A,4.5,2.1,4.7,8.9,4.5,2.1
P4,B,5.8,3.4,4.4,7.9,6.0,1.3
P4,C,6.3,2.6,3.6,7.4,6.0,2.2
P5,A,3.1,2.2,5.9,9.0,3.5,2.4
P5,B,7.4,3.4,3.5,8.7,8.1,1.2
P5,C,3.3,3.5,4.8,7.3,4.1,1.4
