Participant,System,SUS_Q1,SUS_Q2,SUS_Q3,SUS_Q4,SUS_Q5,SUS_Q6,SUS_Q7,SUS_Q8,SUS_Q9,SUS_Q10,SUS_Total_Score
P1,A,3,1,4,1,3,2,3,2,4,3,70.0
P1,B,4,1,3,1,4,2,3,1,4,1,80.0
P1,C,4,2,3,1,3,2,4,2,5,2,75.0
P2,A,3,2,4,2,4,1,4,2,3,2,72.5
P2,B,4,2,4,3,4,2,4,2,4,1,75.0
P2,C,2,2,3,1,3,1,4,1,4,1,75.0
P3,A,3,3,4,2,3,3,5,2,4,2,67.5
P3,B,4,2,3,1,2,1,5,1,3,2,75.0
P3,C,2,2,4,2,5,1,5,1,3,1,80.0
P4,A,5,1,3,1,3,1,3,3,4,1,77.5
P4,B,3,2,5,2,4,1,4,2,4,1,80.0
P4,C,4,1,5,2,4,2,3,1,4,2,80.0
P5,A,3,1,3,2,5,2,4,1,4,2,77.5
P5,B,3,1,3,1,4,3,3,1,4,2,72.5
P5,C,4,1,4,1,4,1,3,3,4,1,80.0
