Participant,System,Task,Completion_Time_sec,Correct,Interaction_Count,System_Order
P1,A,T1,31.0,True,7,1
P1,A,T2,44.5,True,4,1
P1,A,T3,55.2,True,7,1
P1,A,T4,41.8,True,6,1
P1,A,T5,39.8,True,9,1
P1,B,T1,32.6,True,5,2
P1,B,T2,32.1,True,7,2
P1,B,T3,48.4,True,7,2
P1,B,T4,55.1,False,4,2
P1,B,T5,44.0,True,6,2
P1,C,T1,44.9,True,6,3
P1,C,T2,34.0,True,5,3
P1,C,T3,58.2,True,4,3
P1,C,T4,55.2,True,4,3
P1,C,T5,20.8,True,3,3
P2,A,T1,28.7,True,6,3
P2,A,T2,52.7,True,6,3
P2,A,T3,54.0,True,7,3
P2,A,T4,24.8,True,4,3
P2,A,T5,33.8,True,9,3
P2,B,T1,27.6,True,3,1
P2,B,T2,32.1,True,3,1
P2,B,T3,42.1,True,5,1
P2,B,T4,64.6,True,5,1
P2,B,T5,48.9,True,6,1
P2,C,T1,53.9,True,3,2
P2,C,T2,27.3,True,7,2
P2,C,T3,76.1,True,5,2
P2,C,T4,33.1,False,5,2
P2,C,T5,27.4,True,3,2
P3,A,T1,24.3,True,4,2
P3,A,T2,38.0,True,7,2
P3,A,T3,53.8,True,7,2
P3,A,T4,34.1,True,7,2
P3,A,T5,35.3,True,9,2
P3,B,T1,25.0,True,5,3
P3,B,T2,35.7,True,3,3
P3,B,T3,52.2,True,6,3
P3,B,T4,52.7,False,5,3
P3,B,T5,49.2,True,7,3
P3,C,T1,39.5,True,3,1
P3,C,T2,44.1,True,3,1
P3,C,T3,65.3,True,5,1
P3,C,T4,54.1,True,7,1
P3,C,T5,18.1,True,2,1
P4,A,T1,33.2,True,3,1
P4,A,T2,39.6,True,6,1
P4,A,T3,50.5,True,4,1
P4,A,T4,29.7,True,5,1
P4,A,T5,43.3,True,7,1
P4,B,T1,32.5,True,3,3
P4,B,T2,30.7,True,4,3
P4,B,T3,24.2,True,6,3
P4,B,T4,73.6,True,5,3
P4,B,T5,51.3,True,6,3
P4,C,T1,36.8,True,5,2
P4,C,T2,42.8,True,5,2
P4,C,T3,68.6,True,7,2
P4,C,T4,47.9,True,4,2
P4,C,T5,26.5,True,2,2
P5,A,T1,24.7,True,4,2
P5,A,T2,43.3,False,5,2
P5,A,T3,43.3,True,4,2
P5,A,T4,32.7,True,6,2
P5,A,T5,25.7,True,9,2
P5,B,T1,36.4,True,5,1
P5,B,T2,27.4,True,5,1
P5,B,T3,40.4,True,3,1
P5,B,T4,51.1,True,6,1
P5,B,T5,46.5,True,8,1
P5,C,T1,44.9,True,4,3
P5,C,T2,33.4,True,5,3
P5,C,T3,45.2,True,3,3
P5,C,T4,57.7,True,6,3
P5,C,T5,28.6,True,3,3
