Date,System,Incident_Type,Count
12/01/2023,AuthServer01,FAILED LOGIN,11
04/02/2023,MailGateway01,SPAM,8
09/03/2023,FinanceDB01,MALWARE,5
15/03/2023,WebPortal01,DOS,3
02/04/2023,AuthServer02,FAILED LOGIN,6
,AuthServer01,PHISHING,4
22/06/2023,FinanceDB02,DATA LEAK,2
10/07/2023,WebPortal02,PRIV ESC,3
05/08/2023,AuthServer03,FAILED LOGIN,7
18/09/2023,MailGateway01,SPAM,5
invalid,AuthServer01,FAILED LOGIN,9
25/02/2024,FinanceDB01,MALWARE,6
08/03/2024,WebPortal01,DOS,8
20/04/2024,AuthServer02,PHISHING,4
15/05/2024,FinanceDB03,DATA LEAK,3
,AuthServer03,FAILED LOGIN,5
10/07/2024,MailGateway01,SPAM,6
22/08/2024,WebPortal02,DOS,7
05/09/2024,BackupServer01,PRIV ESC,4
18/10/2024,AuthServer01,MALWARE,8
10/01/2025,AuthServer01, failed login ,3
20/01/2025,FinanceDB01,MALWARE,3
05/02/2025,AuthServer01,FAILED LOGIN,7
18/02/2025,WebPortal01,DOS,7
10/03/2025,FinanceDB03,PHISHING,8
22/03/2025,AuthServer03,malware ,7
05/05/2025,AuthServer01,FAILED LOGIN,13
18/05/2025,FinanceDB01,MALWARE,12
12/08/2025,WebPortal02,DOS,5
25/08/2025,AuthServer02,PHISHING,5
08/09/2025,FinanceDB03, phishing,6
20/09/2025,AuthServer01,FAILED LOGIN,7
10/10/2025,BackupServer01,PRIV ESC,4
22/10/2025,MailGateway01,SPAM,4
15/11/2023,FinanceDB01,DOS,9
28/12/2023,AuthServer01,FAILED LOGIN,12
10/11/2024,WebPortal01,MALWARE,7
25/12/2024,AuthServer02,FAILED LOGIN,8
05/06/2023,FinanceDB02,PHISHING,5
18/07/2023,AuthServer03,SPAM,4
02/08/2023,WebPortal02,DATA LEAK,3
15/09/2023,MailGateway01,PRIV ESC,6
28/10/2023,AuthServer01,DOS,10
10/11/2023,FinanceDB03,FAILED LOGIN,8
22/12/2023,WebPortal01,MALWARE,5
05/01/2024,AuthServer02,PHISHING,7
18/02/2024,FinanceDB01,SPAM,4
02/03/2024,AuthServer03,DATA LEAK,5
